cycle,component,port,event,addr,we,be,wdata,rdata
2,xbar_bank,1,REQ,0x0000000000,R,0x0000ffff,0x00000000000000000000000000000000,-
2,xbar_bank,1,GNT,0x0000000000,R,0x0000ffff,0x00000000000000000000000000000000,-
2,xbar_bank,3,REQ,0x0000000000,R,0x0000ffff,0x00000000000000000000000000000000,-
2,xbar_bank,3,GNT,0x0000000000,R,0x0000ffff,0x00000000000000000000000000000000,-
2,xbar_bank,8,REQ,0x0000000000,R,0x0000ffff,0x00000000000000000000000000000000,-
2,xbar_bank,8,GNT,0x0000000000,R,0x0000ffff,0x00000000000000000000000000000000,-
2,xbar_bank,11,REQ,0x0000000000,R,0x0000ffff,0x00000000000000000000000000000000,-
2,xbar_bank,11,GNT,0x0000000000,R,0x0000ffff,0x00000000000000000000000000000000,-
3,xbar_bank,1,RSP,0x0000000000,R,0x00000000,-,0x00000000000000000000000000000000
3,xbar_bank,3,RSP,0x0000000000,R,0x00000000,-,0x00000000000000000000000000000000
3,xbar_bank,6,REQ,0x00000000b0,R,0x0000ffff,0x00000000000000000000000000000000,-
3,xbar_bank,6,GNT,0x00000000b0,R,0x0000ffff,0x00000000000000000000000000000000,-
3,xbar_bank,8,RSP,0x0000000000,R,0x00000000,-,0x00000000000000000000000000000000
3,xbar_bank,11,RSP,0x0000000000,R,0x00000000,-,0x00000000000000000000000000000000
3,xbar_bank,13,REQ,0x00000000b0,R,0x0000ffff,0x00000000000000000000000000000000,-
3,xbar_bank,13,GNT,0x00000000b0,R,0x0000ffff,0x00000000000000000000000000000000,-
3,xbar_bank,14,REQ,0x00000000b0,R,0x0000ffff,0x00000000000000000000000000000000,-
3,xbar_bank,14,GNT,0x00000000b0,R,0x0000ffff,0x00000000000000000000000000000000,-
3,xbar_bank,20,REQ,0x00000000b0,R,0x0000ffff,0x00000000000000000000000000000000,-
3,xbar_bank,20,GNT,0x00000000b0,R,0x0000ffff,0x00000000000000000000000000000000,-
4,xbar_bank,0,REQ,0x0000055230,R,0x0000ffff,0x00000000000000000000000000000000,-
4,xbar_bank,0,GNT,0x0000055230,R,0x0000ffff,0x00000000000000000000000000000000,-
4,xbar_bank,1,REQ,0x0000055230,R,0x0000ffff,0x00000000000000000000000000000000,-
4,xbar_bank,1,GNT,0x0000055230,R,0x0000ffff,0x00000000000000000000000000000000,-
4,xbar_bank,2,REQ,0x0000055230,R,0x0000ffff,0x00000000000000000000000000000000,-
4,xbar_bank,2,GNT,0x0000055230,R,0x0000ffff,0x00000000000000000000000000000000,-
4,xbar_bank,3,REQ,0x0000055240,R,0x0000ffff,0x00000000000000000000000000000000,-
4,xbar_bank,3,GNT,0x0000055240,R,0x0000ffff,0x00000000000000000000000000000000,-
4,xbar_bank,4,REQ,0x0000055240,R,0x0000ffff,0x00000000000000000000000000000000,-
4,xbar_bank,4,GNT,0x0000055240,R,0x0000ffff,0x00000000000000000000000000000000,-
4,xbar_bank,5,REQ,0x0000055250,R,0x0000ffff,0x00000000000000000000000000000000,-
4,xbar_bank,5,GNT,0x0000055250,R,0x0000ffff,0x00000000000000000000000000000000,-
4,xbar_bank,6,REQ,0x0000055250,R,0x0000ffff,0x00000000000000000000000000000000,-
4,xbar_bank,6,GNT,0x0000055250,R,0x0000ffff,0x00000000000000000000000000000000,-
4,xbar_bank,6,RSP,0x00000000b0,R,0x00000000,-,0x00000000000000000000000000000000
4,xbar_bank,7,REQ,0x0000055260,R,0x0000ffff,0x00000000000000000000000000000000,-
4,xbar_bank,7,GNT,0x0000055260,R,0x0000ffff,0x00000000000000000000000000000000,-
4,xbar_bank,8,REQ,0x0000055270,R,0x0000ffff,0x00000000000000000000000000000000,-
