cycle,arb_req,arb_rsp,tdm_slots_req,r0_rd_ptr,r0_valid,r0_drain,r1_rd_ptr,r1_valid,r1_drain,r2_rd_ptr,r2_valid,r2_drain,r3_rd_ptr,r3_valid,r3_drain,r4_rd_ptr,r4_valid,r4_drain
1,0,0,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
2,1,0,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
3,2,1,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
4,3,2,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
5,4,3,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
6,5,4,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
7,6,5,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
8,7,6,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
9,8,7,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
10,0,8,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
11,1,0,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
12,2,1,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
13,3,2,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
14,4,3,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
15,5,4,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
16,6,5,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
17,7,6,32,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
18,8,7,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
19,0,8,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
20,1,0,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
21,2,1,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
22,3,2,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
23,4,3,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
24,5,4,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
25,6,5,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
26,7,6,31,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
27,8,7,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
28,0,8,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
29,1,0,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
30,2,1,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
31,3,2,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
32,4,3,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
33,5,4,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
34,6,5,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
35,7,6,30,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
36,8,7,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
37,0,8,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
38,1,0,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
39,2,1,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
40,3,2,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
41,4,3,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
42,5,4,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
43,6,5,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
44,7,6,29,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
45,8,7,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
46,0,8,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
47,1,0,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
48,2,1,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
49,3,2,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
50,4,3,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
51,5,4,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
52,6,5,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
53,7,6,28,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
54,8,7,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
55,0,8,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
56,1,0,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
57,2,1,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
58,3,2,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
59,4,3,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
60,5,4,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
61,6,5,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
62,7,6,27,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
63,8,7,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
64,0,8,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
65,1,0,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
66,2,1,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
67,3,2,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
68,4,3,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
69,5,4,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
70,6,5,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
71,7,6,26,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
72,8,7,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
73,0,8,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
74,1,0,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
75,2,1,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
76,3,2,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
77,4,3,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
78,5,4,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
79,6,5,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
80,7,6,25,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
81,8,7,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
82,0,8,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
83,1,0,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
84,2,1,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
85,3,2,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
86,4,3,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
87,5,4,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
88,6,5,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
89,7,6,24,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
90,8,7,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
91,0,8,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
92,1,0,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
93,2,1,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
94,3,2,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
95,4,3,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
96,5,4,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
97,6,5,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
98,7,6,23,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
99,8,7,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
100,0,8,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
101,1,0,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
102,2,1,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
103,3,2,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
104,4,3,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
105,5,4,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
106,6,5,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
107,7,6,22,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
108,8,7,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
109,0,8,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
110,1,0,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
111,2,1,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
112,3,2,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
113,4,3,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
114,5,4,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
115,6,5,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
116,7,6,21,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
117,8,7,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
118,0,8,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
119,1,0,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
120,2,1,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
121,3,2,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0
